Age,Source of Wealth,Self-Made Score,Philanthropy Score,Residence,Citizenship,Marital Status,Children,Education
67,Finance,,,"Taipei, Taiwan",Taiwan,Married,4,"LLM, Georgetown University; LLB, National Taiwan University"
66,Finance,,,"Taipei, Taiwan",Taiwan,Married,2,"Master of Business Administration, Leonard N. Stern School of Business; Graduate, National Taiwan University"
42,"Drones, Self Made",,,"Shenzhen, China",China,Married,,"Bachelor of Arts/Science, Hong Kong University of Science and Technology; Master of Science, Hong Kong University of Science and Technology"
74,"Solar inverters, Self Made",,,"Ningbo, China",China,Married,1,
58,"Business software, Self Made",,,"Beijing, China",China,Married,1,"Bachelor of Arts/Science, Jiangxi University of Finance & Economics"
84,"Investments, Self Made",10,1,"Coral Gables, Florida",United States,Married,,"Associate in Arts/Science, Brevard Community College; Bachelor of Arts/Science, Southern College of Optometry; Doctorate, Southern College of Optometry"
65,Carnival Cruises,,,"Tel Aviv, Israel",Israel,Divorced,4,"Drop Out, Miami Dade College"
68,"Oil, banking, telecom, Self Made",,,Latvia,Russia,Married,3,"Ph.D, Moscow State University"
82,"Real estate, Self Made",,,"Beijing, China",China,Married,3,"Doctorate, Savannah College of Art and Design"
57,"Real estate, Self Made",,,"Shenzhen, China",China,Married,,
87,Insurance,2,2,"Erie, Pennsylvania",United States,Widowed,2,"Bachelor of Arts/Science, Ohio State University"
83,Franklin Templeton,4,2,"Burlingame, California",United States,Married,,"Bachelor of Arts/Science, Washington & Lee University"
73,"Coal, Self Made",,,"Jakarta, Indonesia",Indonesia,Married,,
74,"Navigation equipment, Self Made",8,2,"Leawood, Kansas",United States,Married,2,"Bachelor of Arts/Science, National Taiwan University; Doctorate, University of Tennessee Knoxville; Master of Science, University of Tennessee Knoxville"
82,"Finance, Self Made",,,"Paris, France",France,Divorced,4,
53,"Groupon, investments, Self Made",8,2,"Glencoe, Illinois",United States,Married,3,"Bachelor of Arts/Science, University of Michigan; Doctor of Jurisprudence, University of Michigan"
55,"Smartphones, Self Made",8,,"Shenzhen, China",United States,,,"Master, Drexel University; Bachelor of Arts/Science, Sun Yat-sen University"
60,"Investments, Self Made",,,"Shenzhen, China",China,Married,1,"Chinese Academy of Social Sciences; Bachelor of Arts/Science, Hubei University of Technology"
68,"Venture capital, Self Made",,,,,,,
61,"Hotels, investments",3,2,"Los Angeles, California",United States,Married,3,"Bachelor of Arts/Science, Stanford University"
73,U-Haul,5,,"Phoenix, Arizona",United States,Married,,"Bachelor of Arts/Science, College of the Holy Cross; Master of Business Administration, Harvard Business School"
58,"EBay, Self Made",6,4,"Los Angeles, California",United States,Single,,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Toronto"
41,In-N-Out Burger,3,1,"Glendora, California",United States,Married,,
73,"Supermarkets, Self Made",,,"Jakarta, Indonesia",Indonesia,Married,5,
71,"Diversified, Self Made",,,"Jakarta, Indonesia",Indonesia,Married,4,"Master of Business Administration, Golden Gate University; Bachelor of Arts/Science, Nan Yang University"
55,"Facebook, investments, Self Made",,,,,,,
68,"Agriculture, Self Made",,,"Prague, Czech Republic",Czech Republic,Married,4,"Master, University of Economics in Bratislava (UEB)"
83,Food services,,,"Paris, France",France,Widowed,4,
83,Publishing,,,"Munich, Germany",Germany,Married,2,"Bachelor of Arts/Science, Ludwig Maxmilian University"
87,"Beverages, Self Made",9,,"Plantation, Florida",United States,Married,4,
74,"Oil, real estate, Self Made",10,1,"New York, New York",United States,Married,2,"Drop Out, New York University"
71,"Software, Self Made",8,3,"Woodside, California",United States,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, University of Southern California"
54,Spirits,,,"Milan, Italy",Italy,,,"Bachelor of Commerce, Bocconi University"
66,"Elevators, escalators",,,"Kirkkonummi, Finland",Finland,Married,4,
55,"Paint, Self Made",,,"Putian, China",China,,,
83,Food service,5,2,"East Aurora, New York",United States,Married,6,"Bachelor of Arts/Science, SUNY Buffalo"
56,"Tobacco distribution, retail, Self Made",,,"Moscow, Russia",Russia,Married,3,"Master, Moscow Institute of International Relations"
73,Campbell Soup,2,1,"Coatesville, Pennsylvania",United States,Divorced,2,"Bachelor of Arts/Science, University of Arizona"
61,"Banking, minerals",,,"Rio de Janeiro, Brazil",Brazil,Divorced,1,
67,"Banking, minerals",,,"Rio de Janeiro, Brazil",Brazil,Married,1,"Bachelor of Arts/Science, University of Southern California"
77,"Billboards, Los Angeles Angels, Self Made",8,2,"Phoenix, Arizona",United States,Married,3,"Bachelor of Arts/Science, University of Arizona"
63,"Train cars, Self Made",,,"Weiningen, Switzerland",Switzerland,Married,2,
89,"Real estate, Self Made",8,1,"Beverly Hills, California",United States,Married,3,"Bachelor of Arts/Science, California State Los Angeles; Doctor of Jurisprudence, Southwestern Law School"
82,"Construction equipment, media, Self Made",,,"Perth, Australia",Australia,Married,4,
60,"Cybersecurity, Self Made",8,1,"Los Altos Hills, California",United States,Married,,"Master of Science, Stanford University; Bachelor of Science, Tsinghua University; Master of Science, Tsinghua University"
57,"Biotech, Self Made",,,"Beijing, China",China,Married,,"Ph.D, Massachusetts Institute of Technology"
81,"Oil, investments",4,2,"Fort Worth, Texas",United States,Divorced,2,"Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University"
49,"Email marketing, Self Made",8,1,"Atlanta, Georgia",United States,Married,2,"Bachelor of Arts/Science, Georgia Institute of Technology"
76,Subway,,,,United States,Widowed,1,
56,"Conglomerate, Self Made",,,"Shanghai, China",China,Married,3,"Bachelor of Arts/Science, Fudan University; Master of Business Administration, Fudan University"
77,Electrical equipment,,,"Delhi, India",India,,,
73,"Sports, Self Made",7,1,"Boca Raton, Florida",United States,Married,2,
47,"Uber, Self Made",8,1,"Los Angeles, California",United States,Single,,"Drop Out, University of California, Los Angeles"
62,"Aluminum, Self Made",,,"Petaling Jaya, Malaysia",Malaysia,Married,,"Bachelor of Engineering, University of Oklahoma"
51,"Email marketing, Self Made",9,1,"Atlanta, Georgia",United States,Married,2,"High School Graduate, High School"
65,"Battery separators, Self Made",8,,"Yuxi, China",United States,Married,,"Master of Science, University of Massachusetts"
43,"E-commerce, Self Made",8,,"Ottawa, Canada",Canada,Married,3,
79,"Car dealerships, Self Made",7,2,"Salt Lake City, Utah",United States,"Widowed, Remarried",5,"Drop Out, University of Utah"
63,Telecom,,,"Delhi, India",India,Married,,"Bachelor of Arts/Science, Punjab University"
67,Telecom,,,"Delhi, India",India,Married,,"Bachelor of Arts/Science, Punjab University"
80,"Marvel comics, Self Made",10,1,"Palm Beach, Florida",United States,Married,,"High School Graduate, High School"
91,"Banking, real estate",5,,"Chevy Chase, Maryland",United States,Married,5,"LLB, University of Virginia; Bachelor of Arts/Science, Villanova University"
68,"Telecom, Self Made",,,"Milan, Italy",Israel,,,
76,"Movies, Self Made",8,3,"Pacific Palisades, California",United States,Married,7,"Bachelor of Arts/Science, California State Long Beach"
75,"Pharmaceuticals, Self Made",,,"Konstancin, Poland",Poland,Married,3,
69,"Oil trading, Self Made",,,"Geneva, Switzerland",Sweden,,,"Graduate, Stockholm University"
75,"Steel, Self Made",,,"Mexico City, Mexico",Mexico,Married,4,"Bachelor of Arts/Science, Universidad Iberoamericana"
73,"Valves, Self Made",,,"Shaoxing, China",China,,2,
76,Auto parts,,,"Bruchsal, Germany",Germany,Married,,
72,Cargill,1,1,"Livingston, Montana",United States,Divorced,2,"Doctorate, Oregon State University; Bachelor of Arts/Science, University of Minnesota; Master of Science, University of Minnesota"
74,Cargill,1,1,"Birchwood, Wisconsin",United States,Married,2,
91,"Insurance, beverages, Self Made",,,"Bangkok, Thailand",Thailand,Married,8,
65,"Insurance, Self Made",,,"Beijing, China",China,Married,,
85,Hyundai,,,"Seoul, South Korea",South Korea,Married,4,"Bachelor of Arts/Science, Hanyang University"
68,Investments,,,"George Town, Cayman Islands",Belize,Married,3,"Bachelor of Engineering, University of Michigan"
84,Coffee makers,,,"Treviso, Italy",Italy,Divorced,2,"Bachelor of Arts/Economics, Università Cà Foscari di Venezia"
83,"Optometry, Self Made",,,"Hamburg, Germany",Germany,In Relationship,2,
94,Oil,4,1,"Dallas, Texas",United States,Married,5,"Bachelor of Arts/Science, Washington & Lee University"
64,Indianapolis Colts,2,1,"Carmel, Indiana",United States,Divorced,3,"Bachelor of Arts/Science, Southern Methodist University"
,Diversified,,,"Bangkok, Thailand",Thailand,,,
70,Cargill,1,1,"Bozeman, Montana",United States,Married,2,"Bachelor of Arts/Science, Montana State University"
78,"Hospitals, Self Made",,,"Rio de Janeiro, Brazil",Brazil,Married,5,"Masters of Public Health, Universidade Federal do Rio de Janeiro"
77,"Banking, minerals",,,"Sao Paulo, Brazil",Brazil,Married,2,"Bachelor of Arts/Science, Fundacao Getulio Vargas"
63,"Banking, minerals",,,"Sao Paulo, Brazil",Brazil,Married,2,"Bachelor of Arts/Science, University of California, Los Angeles"
60,"Videogames, Self Made",8,,"Seattle, Washington",United States,Divorced,2,"Drop Out, Harvard University"
56,Consumer goods,,,"Bielefeld, Germany",Germany,Married,,
50,Consumer goods,,,"Bielefeld, Germany",Germany,,,
44,Consumer goods,,,"Bielefeld, Germany",Germany,,,
62,"Glass, Self Made",,,"Jiaxing, China",China,Married,,
63,"Venture capital, Self Made",9,2,"Steamboat Springs, Colorado",United States,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Southern California; Master of Science, University of Southern California"
71,Finance,,,"Taipei, Taiwan",Taiwan,Married,3,"Law Degree, National Taiwan University; Ph.D, Southern Methodist University"
79,Consumer goods,,,"Mumbai, India",India,Married,2,
73,"Pharmaceuticals, Self Made",,,"Shijiazhuang, China",China,Married,2,"Medical Doctor, Hebei Medical University; Medical Doctor, Nanjing University of Chinese Medicine"
57,"Semiconductors, Self Made",,,"Ningbo, China",China,,,"Bachelor of Science in Engineering, Tsinghua University"
61,"Pharmaceuticals, Self Made",,,"Shenzhen, China",China,Married,,"Bachelor of Arts/Science, Henan Normal University"
64,Aviation,,,"Delhi, India",India,Married,2,"Master of Science, University of Waterloo"
80,"Cement, diversified, Self Made",,,"Rome, Italy",Italy,Married,3,
81,"Online media, Self Made",9,3,"New York, New York",United States,Married,,"Drop Out, University of California, Los Angeles"
61,"Investments, Self Made",8,,"New York, New York",United States,Married,4,"Bachelor of Arts/Science, Oregon State University"
63,"Private equity, Self Made",8,,"New York, New York",United States,Married,3,"Bachelor of Arts/Science, Princeton University"
70,"Airline, Self Made",8,1,"Miami, Florida",United States,Married,1,"Bachelor of Science in Engineering, Indian Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School"
61,"Poultry processing, Self Made",7,1,"Chicago, Illinois",United States,Single,,"Bachelor of Arts/Science, Loyola University Chicago"
88,"Book distribution, transportation",4,1,"Nashville, Tennessee",United States,Widowed,4,"Bachelor of Arts/Science, Vassar College"
41,"Electric vehicles, Self Made",,,"Beijing, China",China,,,
64,Real estate,4,2,"Dallas, Texas",United States,Married,4,"Bachelor of Arts/Science, Vanderbilt University"
82,Real estate,,,"Mumbai, India",India,Married,2,"LLB, University of Mumbai"
72,"Oil & gas, Self Made",7,4,"Dallas, Texas",United States,Married,2,"Bachelor of Arts/Science, Dartmouth College; Doctor of Jurisprudence, Southern Methodist University"
58,"mobile phone retailer, Self Made",,,"Tokyo, Japan",Japan,Married,3,"Drop Out, Nihon University"
54,"Healthcare, Self Made",,,"Xiamen, China",China,,,
73,Finance,,,"Taipei, Taiwan",Taiwan,Married,,Chinese Culture University
77,"Aircraft leasing, Self Made",9,3,"Westlake, Texas",United States,Married,4,"Bachelor of Arts/Science, University of California, Los Angeles"
78,"Packaging materials, Self Made",7,,"Lake Forest, Illinois",United States,Married,3,
78,"Packaging materials, Self Made",7,,"Lake Forest, Illinois",United States,Married,3,"Bachelor of Arts/Science, Stanford University"
51,"Fintech, Self Made",10,,"Austin, Texas",United States,Married,3,"Bachelor of Business Administration, University of Missouri"
76,"Insurance, Self Made",8,1,"Coconut Grove, Florida",United States,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, New York University"
71,Real estate,5,1,"New York, New York",United States,Married,4,"Doctor of Jurisprudence, Brooklyn Law School; Bachelor of Arts/Science, Tufts University"
57,"Real estate, Self Made",,,"London, United Kingdom",Cyprus,,,
60,"Imaging systems, Self Made",,,"Wuhan, China",China,Married,1,"Master of Science, Huazhong University of Science and Technology"
67,"Logistics, Self Made",8,,"Greenwich, Connecticut",United States,Married,4,"Drop Out, Brown University"
56,"Hotels, motels, Self Made",,,"Shanghai, China",China,,,"Bachelor of Engineering, Shanghai Jiao Tong University; Master of Science in Engineering, Shanghai Jiao Tong University"
50,"Advertising, Self Made",,,"Shanghai, China",China,Married,,"Bachelor of Arts/Science, Huadong Normal University; Bachelor of Arts/Science, Huadong Normal University"
60,"IT provider, Self Made",9,,"St. Louis, Missouri",United States,,,"Bachelor of Arts/Science, St. Louis University"
77,Real estate,5,2,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, Amherst College; Doctor of Jurisprudence, Columbia University"
47,"Fintech, Self Made",,,"Almaty, Kazakhstan",Georgia,Single,,"Master of Business Administration, Harvard Business School"
68,"Retail, Self Made",,,"Merseyside, United Kingdom",United Kingdom,Married,,
78,"motors, Self Made",,,"Kyoto, Japan",Japan,Married,2,
62,"Hedge funds, Self Made",7,3,"Miami Beach, Florida",United States,Married,3,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
88,"Retail, Self Made",,,"Santiago, Chile",Chile,Married,3,
62,"Hotels, investments",3,3,"Los Angeles, California",United States,Married,6,"Bachelor of Arts/Science, Dartmouth College"
75,"Software, Self Made",8,2,"Cary, North Carolina",United States,Married,4,"Bachelor of Arts/Science, Beloit College; Master of Arts, Northern Illinois University"
70,"Starbucks, Self Made",10,3,"Seattle, Washington",United States,Married,2,"Bachelor of Arts/Science, Northern Michigan University"
82,"Best Buy, Self Made",8,3,"Naples, Florida",United States,"Widowed, Remarried",10,"Diploma, High School"
75,"Real estate, Self Made",,,"Netanya, Israel",Israel,Married,5,
57,"Electrical equipment, Self Made",,,"Wuxi, China",China,Married,,
56,Diversified,,,"Pune, India",India,Married,1,"Bachelor of Engineering, Pune University; Master of Science in Engineering, The University of Warwick"
53,Diversified,,,"Pune, India",India,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Engineering, Pune University; Master of Science in Engineering, The University of Warwick"
72,"Venture capital, Self Made",,,"Florence, Italy",Canada,Married,4,"Master of Science, Moscow Institute for Transport Engineering"
63,"Private equity, Self Made",7,1,"San Francisco, California",United States,Married,3,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Stanford University"
48,"Auto parts, distribution",,,"Anzere, Switzerland",Belgium,,,
84,Beer,,,Bermuda,Colombia,Widowed,2,
82,"Hotels, Self Made",,,"Vancouver, Canada",Canada,Married,4,"Bachelor of Engineering, Letourneau College"
65,Banking,,,"London, United Kingdom",Colombia,Married,4,"Master of Business Administration, Harvard Business School"
61,Casinos,,,"Hong Kong, Hong Kong",Hong Kong,Divorced,,"Bachelor of Arts/Science, University of Santa Clara"
59,"Hedge funds, Self Made",,,"Geneva, Switzerland",United Kingdom,Married,4,"Master of Science, Imperial College London"
61,"Car dealerships, Self Made",,,"Beijing, China",Hong Kong,Married,,"Bachelor of Arts/Science, Xiamen University"
80,Investments,4,3,"Short Hills, New Jersey",United States,Married,3,"Bachelor of Arts/Science, Babson College"
54,"Fintech, Self Made",,,"Almaty, Kazakhstan",Kazakhstan,Single,,
38,"Venture capital, Self Made",,,"New York City, New York",United States,Married,1,"Bachelor of Arts/Science, Harvard; Master of Business Administration, Harvard Business School"
84,Real estate,,,"Hong Kong, Hong Kong",Hong Kong,Married,7,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Massachusetts Institute of Technology"
71,"Real estate, Self Made",,,"Hong Kong, Hong Kong",Hong Kong,Married,1,
67,"Hedge funds, Self Made",7,2,"Greenwich, Connecticut",United States,Married,3,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Harvard University; Diploma, Phillips Academy Exeter"
75,"Diversified, Self Made",,,"London, United Kingdom",Egypt,Married,2,"Master of Business Administration, Auburn University; Bachelor of Science, North Carolina State University"
68,"shoes, Self Made",,,"Tokyo, Japan",Japan,Married,,"Bachelor of Arts/Science, Toho Gakuen tanki University"
85,"software, Self Made",,,"Tokyo, Japan",Japan,Married,,"Bachelor of Arts/Economics, Kansai University"
37,"Software, Self Made",,,"Sydney, Australia",Australia,Married,,"Bachelor of Arts/Science, University of Western Australia"
36,"Software, Self Made",,,"Sydney, Australia",Australia,Married,,"Drop Out, University of Western Australia"
58,"Hotels, investments",3,3,"Springfield, Illinois",United States,Married,2,"Bachelor of Arts/Science, Duke University; Doctor of Jurisprudence, Northwestern University"
73,Supermarkets,,,"Valencia, Spain",Spain,Married,4,
83,"Real estate, Self Made",8,1,"New York, New York",United States,Married,4,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Columbia University"
64,"Fashion investments, Self Made",,,"Geneva, Switzerland",Canada,Married,2,
80,Shipping,,,"Hong Kong, Hong Kong",Hong Kong,Married,2,"Master of Science, Massachusetts Institute of Technology; Bachelor of Arts/Science, University of Liverpool"
60,"Liquor, Self Made",,,"Chengdu, China",China,Married,,
61,"Automobiles, batteries, Self Made",,,"Shenzhen, China",China,,,
57,"Smartphone components, Self Made",,,"Shenzhen, China",China,,,
54,"Electric bikes, scooters, Self Made",,,"Tianjin, China",China,Married,,
34,Eyeglasses,,,"Los Angeles, California",Italy,,,"Bachelor of Arts/Economics, Catholic University of the Sacred Heart"
65,Generic drugs,,,"Sao Paulo, Brazil",Brazil,Married,,
62,"Investments, Self Made",,,"Fuzhou, China",China,Married,4,China Europe International Business School
88,"Microchip testing, Self Made",,,"Cernusco Lombardone, Italy",Italy,Married,3,
76,"Private equity, Self Made",10,3,"Vienna, Virginia",United States,Married,2,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Syracuse University"
66,Eyeglasses,,,"Muttontown, New York",Italy,Married,3,
19,Eyeglases,,,"Milan, Italy",Italy,,,
28,Eyeglasses,,,"Milan, Italy",Italy,,,"Bachelor of Business Administration, Bocconi Univerisity"
21,Eyeglasses,,,"Milan, Italy",Italy,,,
65,Eyeglasses,,,"Rome, Italy",Italy,,,
62,Eyeglasses,,,"Luxembourg, Luxembourg",Italy,Married,3,
70,"Investing, Self Made",,,"Dusseldorf, Germany",Germany,Married,,
57,"Skincare, Self Made",,,"Xian, China",China,Married,,
58,"Software, Self Made",8,,"Pleasanton, California",United States,Married,2,"Bachelor of Science, Oregon State University"
65,"Oil, coal, real estate, Self Made",,,"Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Kazakh Technological Institute"
81,"Paper, Self Made",,,"Hong Kong, Hong Kong",Hong Kong,Married,5,
54,"Infant formula, Self Made",,,"Beijing, China",China,,,"Bachelor of Arts/Science, Northeast Agriculture University; EMBA, Peking University"
61,"Hedge funds, Self Made",7,2,"New York, New York",United States,Married,,"Bachelor of Arts/Science, Columbia University"
61,Commodities,,,"Davos, Switzerland",Switzerland,Widowed,3,
90,"hospitals, airline, Self Made",,,"Bangkok, Thailand",Thailand,Married,5,
89,"Investments, Self Made",8,2,"New York, New York",United States,Married,3,"Bachelor of Arts/Science, Brooklyn College; Master of Business Administration, Leonard N. Stern School of Business"
76,"Drugstores, Self Made",,,"Lower-Saxony, Germany",Germany,Married,2,
71,"Construction, pipes, banking, Self Made",,,"Moscow, Russia",Russia,Divorced,5,"Master of Arts/Science, Leningrad Institute of Physical Culture"
62,"Winter jackets, Self Made",,,"Como, Italy",Italy,Married,2,
,Biopharmaceuticals,,,"Northeim, Germany",Germany,,,
66,"Auto parts, Self Made",,,"Delhi, India",Australia,Married,2,"Bachelor of Arts/Science, Delhi University"
46,"Private equity, Self Made",,,,,,,
70,"Business software, Self Made",8,4,"Woodside, California",United States,Married,4,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign; Master of Business Administration, University of Illinois, Urbana-Champaign; Master of Science, University of Illinois, Urbana-Champaign"
76,Manufacturing,,,"Eindhoven, Netherlands",Netherlands,Married,3,
59,"Fertilizer, Self Made",,,"Beijing, China",China,Married,,
54,"Cybersecurity, Self Made",8,1,"Los Altos Hills, California",United States,Married,,"Bachelor of Arts/Science, Tsinghua University; Master of Science, Tsinghua University; Master of Science, University of Manitoba"
65,"Shipping, Self Made",,,"Qingdao, China",China,,,"Master of Business Administration, Asia Macau International Open University"
65,Eyeglasses,,,"Monaco, Monaco",Italy,Widowed,3,
56,Steel,,,"Windsor, Canada",Canada,,,"Drop Out, York University"
57,"Hedge funds, Self Made",7,4,"New York, New York",United States,Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Harvard University"
56,"Renewable energy, Self Made",,,"Bangkok, Thailand",Thailand,Married,3,"Master of Business Administration, Joseph M. Katz Graduate School of Business"
52,"Metals, Self Made",,,"Yekaterinburg, Russia",Russia,Married,6,"Bachelor of Arts/Science, Ekaterinburg Institute of Economics"
69,"Diversified, Self Made",,,"Manila, Philippines",Philippines,Married,8,"Bachelor of Engineering, Far Eastern University"
51,"Consumer goods, Self Made",,,"Haridwar, India",India,Single,,
52,Chemicals,,,"Wilen bei Wollerau, Switzerland",Switzerland,Married,7,
73,"Virgin, Self Made",,,"Necker Island, British Virgin Islands",United Kingdom,Married,2,"Drop Out, High School"
64,Finance,,,"Seoul, South Korea",South Korea,Married,3,"Master of Business Administration, IMD; Bachelor of Arts/Science, University of Southern California"
63,Spirits,,,"Milan, Italy",Italy,,,"Bachelor of Social Sciences, University of Milan"
85,"Diamond jewelry, Self Made",,,"Gstaad, Switzerland",United Kingdom,Divorced,5,
86,"Cable television, Self Made",7,5,"Boston, Massachusetts",United States,Married,3,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard University"
76,"Johnson & Johnson, sports",4,,"Palm Beach, Florida",United States,Married,5,
67,"Investments, Self Made",7,,"New York, New York",United States,,,"Master of Business Administration, Harvard Business School; Doctor of Jurisprudence, Harvard Law School; Bachelor of Arts/Economics, University of Michigan, Ann Arbor"
63,Estee Lauder,4,,"New York, New York",United States,Divorced,,"Bachelor of Arts/Science, University of Pennsylvania"
68,Tobacco,5,2,"Bryn Mawr, Pennsylvania",United States,Married,2,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard University"
58,"online retail, Self Made",,,"Tokyo, Japan",Japan,Married,2,"Master of Business Administration, Harvard University"
72,"Web hosting, Self Made",10,3,"Scottsdale, Arizona",United States,Married,,"Bachelor of Arts/Science, University of Baltimore"
82,"TD Ameritrade, Self Made",10,3,"Little Jackson Hole, Wyoming",United States,Married,4,"Bachelor of Arts/Science, Creighton University"
88,"Real estate, Self Made",9,2,"Indianapolis, Indiana",United States,Married,8,"Bachelor of Arts/Science, City College of New York"
65,Pharmaceuticals,,,"Mumbai, India",India,Married,2,"Master of Business Administration, Boston University; B.Com, University of Mumbai"
60,Publishing,,,"Stuttgart, Germany",Germany,,,"Diploma, University of Munich"
82,Flavorings,,,"Zug, Switzerland",Switzerland,Divorced,2,
54,"Pharmaceuticals, Self Made",,,"Chongqing, China",China,Married,,
52,"Software, Self Made",,,"Hangzhou, China",China,,,"Bachelor of Arts/Science, Zhejiang University"
53,"Zoom Video Communications, Self Made",8,,"Santa Clara, California",United States,Married,3,"Master of Engineering Management, China University of Mining and Technology; Bachelor of Engineering, Shandong Institute of Business and Technology"
75,"Bloomberg LP, Self Made",9,2,"New York, New York",United States,Married,,"Bachelor of Arts/Science, Long Island University; Master of Science, New York University"
75,"Scaffolding, cement mixers, Self Made",,,"Montpellier, France",France,In Relationship,5,
49,"Hedge funds, Self Made",8,5,"Houston, Texas",United States,Married,2,"Bachelor of Arts/Science, Vanderbilt University"
81,"Hearing aids, Self Made",9,,"Brownsville, Texas",United States,Married,,"High School Graduate, High School"
56,"Quartz products, Self Made",,,"Lianyungang, China",China,,,
77,Campbell Soup,2,2,"Paradise Valley, Arizona",United States,Married,2,"Bachelor of Arts/Science, University of Arizona"
68,"Beer, Self Made",,,"Rio de Janeiro, Brazil",Brazil,,1,
80,Car dealerships,,,"Küsnacht, Switzerland",Switzerland,,,"Bachelor of Business Administration, London School of Economics; Bachelor of Business Administration, University of Zurich"
56,"Surveillance equipment, Self Made",,,"Hangzhou, China",China,Married,1,"Bachelor of Arts/Science, Zhejiang Shuren University; EMBA, Zhejiang University"
89,Shopping malls,,,"Melbourne, Australia",Australia,Married,4,"Doctorate, Monash University"
72,"Homebuilding, Self Made",,,"Oakville, Canada",Canada,Married,8,
82,Diversified,,,"Singapore, Singapore",Singapore,Married,2,"LLB, University of London"
59,"Investments, Self Made",8,1,"Sag Harbor, New York",United States,Married,2,"Bachelor of Science in Engineering, Universidad Iberoamericana"
78,"Movie making, Self Made",,,"Tel Aviv, Israel",Israel,Married,4,
79,"home furnishings, Self Made",,,"Hokkaido, Japan",Japan,Married,,
77,"Fertilizer, Self Made",,,"Santiago, Chile",Chile,Divorced,1,
77,"Discount brokerage, Self Made",7,2,"St. Louis, Missouri",United States,Married,3,"Bachelor of Arts/Science, University of Missouri; Master of Business Administration, University of Missouri"
88,"Casinos, real estate, Self Made",8,1,"Las Vegas, Nevada",United States,Married,5,"Drop Out, Wichita State University"
69,Telecom,,,"Cairo, Egypt",Egypt,Married,4,"Bachelor of Arts/Science, Swiss Federal Polytechnical Institute; Master of Science, Swiss Federal Polytechnical Institute"
55,"Venture capital, Self Made",,,,,,,
55,"Software, Self Made",,,"Tel Aviv, Israel",Israel,Single,,
72,"Finance and investments, Self Made",,,"Toronto, Canada",Canada,Married,3,"Bachelor of Science in Engineering, Queens University"
39,"Fintech, Self Made",,,"London, United Kingdom",United Kingdom,Married,2,"Master of Science, Moscow Institute of Physics and Technology"
48,"Hedge fund, Self Made",8,,"Larchmont, New York",United States,Married,,"Bachelor of Arts/Science, Yale University"
74,"Investments, Self Made",8,1,"Dallas, Texas",United States,Married,2,"Bachelor of Science, Oklahoma State University; Master of Business Administration, Stanford Business School"
59,Furniture,4,2,"St. Petersburg, Florida",United States,Married,2,
,"Agribusiness, Self Made",,,"Guangzhou, China",China,,,"Bachelor of Arts/Science, Huazhong Agricultural University"
74,"retail, Self Made",,,"Singapore, Singapore",Japan,Married,1,"Bachelor of Arts/Science, Keio University"
,Tequila,,,,Mexico,,,
86,"Fashion retail, investments, Self Made",,,"Treviso, Italy",Italy,Widowed,4,
88,"Fashion retail, investments, Self Made",,,"Ponzano Veneto, Italy",Italy,Married,4,
82,Chemicals,,,"Delhi, India",India,Widowed,3,"Bachelor of Science in Engineering, University of Michigan"
70,"Supermarkets, investments, Self Made",9,1,"London, United Kingdom",United States,Divorced,3,"Diploma, High School"
65,"Household chemicals, Self Made",,,"Guangzhou, China",China,,,
69,"Fashion, Self Made",,,"Solomeo, Italy",Italy,Married,2,
85,"Chemicals, Self Made",,,"Mexico City, Mexico",Mexico,Married,5,
86,"Biotech, Self Made",,,"torino, Italy",Italy,Married,2,
,"Electric scooters, Self Made",,,"Wuxi, China",China,Married,,
70,"Satellite TV, Self Made",8,1,"Denver, Colorado",United States,Married,5,"Bachelor of Arts/Science, University of Tennessee Knoxville; Master of Business Administration, Wake Forest University School of Business"
57,"Yahoo, Self Made",8,2,"Palo Alto, California",United States,Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, Tulane University"
86,"Logistics, real estate, Self Made",,,"Melbourne, Australia",Australia,Married,5,
56,"Retail, Self Made",,,"Krasnodar, Russia",Russia,Married,1,"Bachelor of Arts/Science, Kuban State University"
68,"Software services, Self Made",,,"Bangalore, India",India,Married,1,"Master of Science, Indian Institute of Technology"
