Age,Source of Wealth,Self-Made Score,Philanthropy Score,Residence,Citizenship,Marital Status,Children,Education
51,"Fertilizers, coal, Self Made",,,"Ras Al Khaimah, United Arab Emirates",Russia,Married,2,"Master of Science, Plekhanov Russian University of Economics"
57,BMW,,,"Frankfurt, Germany",Germany,Married,1,"Associate in Arts/Science, Technical University of Karlsruhe"
53,Amazon,3,5,"Seattle, Washington",United States,Divorced,4,"Bachelor of Arts/Science, Princeton University"
82,"Banking, tobacco",,,"Kudus, Indonesia",Indonesia,Married,3,
62,"Metals, Self Made",,,"Moscow, Russia",Russia,Married,7,"Masters in Finance, Moscow Institute of International Relations"
58,"E-commerce, Self Made",,,"Hangzhou, China",China,Married,,"Bachelor of Arts/Science, Hangzhou Teacher's Institute"
81,"Home appliances, Self Made",,,"Foshan, China",China,Married,3,
80,Mining,,,"Santiago, Chile",Chile,Widowed,3,
83,"Banking, tobacco",,,"Kudus, Indonesia",Indonesia,Married,4,
70,"Chemicals, Self Made",,,"London, United Kingdom",United Kingdom,Married,,
82,Vaccines,,,"Pune, India",India,Widowed,1,"Bachelor of Arts/Science, Pune University; Doctorate, Pune University"
66,"telecom, investments, Self Made",,,"Tokyo, Japan",Japan,Married,2,"Bachelor of Arts/Science, University of California, Berkeley"
67,"Steel, transport, Self Made",,,"Moscow, Russia",Russia,Married,3,"Doctorate, Russian Academy of Economics; Bachelor of Arts/Science, Siberian Metallurgical Institute"
52,Cheese,,,"Laval, France",France,,,
61,Fidelity,4,1,"Milton, Massachusetts",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Hobart and William Smith"
68,"Gas, chemicals, Self Made",,,"Moscow, Russia",Russia,Married,2,"Master of Science in Engineering, Kuybyshev Engineering and Construction Institute"
36,Walmart,1,1,"Chicago, Illinois",United States,Married,,"Bachelor of Arts/Science, Colorado College"
52,"Package delivery, Self Made",,,"Shenzhen, China",China,,,
60,"Semiconductors, Self Made",8,1,"Los Altos, California",United States,Married,,"Bachelor of Science in Engineering, Oregon State University; Master of Science in Engineering, Stanford University"
90,Estee Lauder,5,3,"New York, New York",United States,"Widowed, Remarried",2,"Bachelor of Arts/Science, University of Pennsylvania"
78,"Sensors, Self Made",,,"Osaka, Japan",Japan,Married,,
57,"Steel, investments, Self Made",,,"Moscow, Russia",Russia,Married,7,"Master of Science in Engineering, Leningrad Institute of Economics; Master of Business Administration, University of Northumbria"
72,"Oil, Self Made",,,"Moscow, Russia",Russia,Married,1,"Master of Science in Engineering, Azerbaijan Institute of Oil and Chemistry"
85,"Hospitals, Self Made",7,1,"Nashville, Tennessee",United States,Married,3,"Bachelor of Arts/Science, Vanderbilt University; Medical Doctor, Washington University"
61,"Mining, Self Made",,,"Perth, Australia",Australia,Separated,3,"Bachelor of Arts/Science, University of Western Australia; Ph.D, University of Western Australia"
74,"Hedge funds, Self Made",8,3,"Greenwich, Connecticut",United States,Married,4,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Long Island University"
60,"Automobiles, Self Made",,,"Hangzhou, China",China,Married,2,"Master of Science, Yanshan University"
55,"Mining, copper products, Self Made",,,"Shenzhen, China",China,,,
73,"Real estate, shipping",,,"Monte Carlo, Monaco",Israel,Married,4,
58,"Pig breeding, Self Made",,,"Nanyang, China",China,Married,1,
57,"Batteries, automobiles, Self Made",,,"Shenzhen, China",China,Married,,"Master of Science, Beijing Non-Ferrous Research Institute; Bachelor of Arts/Science, Central South Industrial University of Technology"
77,"Oil & gas, Self Made",10,1,"Oklahoma City, Oklahoma",United States,Divorced,5,"Diploma, High School"
65,"Hedge funds, Self Made",8,2,"Palm Beach, Florida",United States,Married,3,"Master of Business Administration, David A. Tepper School of Business; Bachelor of Arts/Science, University of Pittsburgh"
70,"Oil, gas, Self Made",,,"Moscow, Russia",Russia,Married,3,"Master of Science in Engineering, Leningrad Mechanical Institute"
61,"Quicken Loans, Self Made",8,1,"Franklin, Michigan",United States,Married,5,"Bachelor of Arts/Science, Michigan State University; LLB, Wayne State University"
73,Steel,,,"London, United Kingdom",India,Married,2,"Bachelor of Arts/Science, St Xavier's College Calcutta"
67,"Hedge funds, Self Made",8,3,"Greenwich, Connecticut",United States,Married,7,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
87,"Investments, Self Made",9,2,"Indian Creek, Florida",United States,Married,2,"Drop Out, New York University; Bachelor of Arts/Science, Princeton University"
73,Steel,,,"Hisar, India",India,Widowed,9,
91,"Real estate, Self Made",8,4,"Newport Beach, California",United States,Married,7,"Bachelor of Arts/Science, University of Washington"
83,"Home improvement stores, Self Made",9,1,"Eau Claire, Wisconsin",United States,Married,6,"Bachelor of Arts/Science, University of Wisconsin, Eau Claire"
